name,slug,value,date_of_information,ranking,region
"Qatar","qatar","723,582,000.0","2019 est.","1","Middle East"
"Singapore","singapore","639,951,000.0","2019 est.","2","East and Southeast Asia"
"Bahrain","bahrain","547,976,000.0","2019 est.","3","Middle East"
"United Arab Emirates","united-arab-emirates","471,788,000.0","2019 est.","4","Middle East"
"Brunei","brunei","415,184,000.0","2019 est.","5","East and Southeast Asia"
"Canada","canada","403,700,000.0","2019 est.","6","North America"
"Kuwait","kuwait","381,985,000.0","2019 est.","7","Middle East"
"Norway","norway","333,833,000.0","2019 est.","8","Europe"
"Turkmenistan","turkmenistan","330,507,000.0","2019 est.","9","Central Asia"
"Luxembourg","luxembourg","310,068,000.0","2019 est.","10","Europe"
"United States","united-states","304,414,000.0","2019 est.","11","North America"
"Saudi Arabia","saudi-arabia","296,949,000.0","2019 est.","12","Middle East"
"Oman","oman","292,022,000.0","2019 est.","13","Middle East"
"Malta","malta","267,739,000.0","2019 est.","14","Europe"
"Korea, South","korea-south","242,346,000.0","2019 est.","15","East and Southeast Asia"
"Australia","australia","241,004,000.0","2019 est.","16","Australia and Oceania"
"Belgium","belgium","234,216,000.0","2019 est.","17","Europe"
"Russia","russia","227,898,000.0","2019 est.","18","Central Asia"
"Netherlands","netherlands","219,606,000.0","2019 est.","19","Europe"
"Finland","finland","216,571,000.0","2019 est.","20","Europe"
"Sweden","sweden","210,882,000.0","2019 est.","21","Europe"
"New Zealand","new-zealand","186,804,000.0","2019 est.","22","Australia and Oceania"
"Kazakhstan","kazakhstan","180,726,000.0","2019 est.","23","Central Asia"
"Bermuda","bermuda","176,312,000.0","2019 est.","24","North America"
"Cayman Islands","cayman-islands","175,578,000.0","2019 est.","25","Central America and the Caribbean"
"Aruba","aruba","174,629,000.0","2019 est.","26","Central America and the Caribbean"
"Hong Kong","hong-kong","172,009,000.0","2019 est.","27","East and Southeast Asia"
"Austria","austria","171,299,000.0","2019 est.","28","Europe"
"Seychelles","seychelles","163,060,000.0","2019 est.","29","Africa"
"Czechia","czechia","161,972,000.0","2019 est.","30","Europe"
"Germany","germany","161,174,000.0","2019 est.","31","Europe"
"Taiwan","taiwan","160,669,000.0","2019 est.","32","East and Southeast Asia"
"Guam","guam","152,767,000.0","2019 est.","33","Australia and Oceania"
"France","france","151,053,000.0","2019 est.","34","Europe"
"Japan","japan","147,107,000.0","2019 est.","35","East and Southeast Asia"
"Iran","iran","145,540,000.0","2019 est.","36","Middle East"
"Bahamas, The","bahamas-the","140,505,000.0","2019 est.","37","Central America and the Caribbean"
"Switzerland","switzerland","137,918,000.0","2019 est.","38","Europe"
"Slovenia","slovenia","134,836,000.0","2019 est.","39","Europe"
"Cyprus","cyprus","133,920,000.0","2019 est.","40","Europe"
"Ireland","ireland","133,674,000.0","2019 est.","41","Europe"
"Slovakia","slovakia","129,665,000.0","2019 est.","42","Europe"
"Denmark","denmark","124,163,000.0","2019 est.","43","Europe"
"Malaysia","malaysia","123,755,000.0","2019 est.","44","East and Southeast Asia"
"Spain","spain","122,673,000.0","2019 est.","45","Europe"
"United Kingdom","united-kingdom","119,894,000.0","2019 est.","46","Europe"
"Israel","israel","113,273,000.0","2019 est.","47","Middle East"
"Poland","poland","112,831,000.0","2019 est.","48","Europe"
"Italy","italy","112,606,000.0","2019 est.","49","Europe"
"Hungary","hungary","108,212,000.0","2019 est.","50","Europe"
"Greece","greece","108,022,000.0","2019 est.","51","Europe"
