name,slug,value,date_of_information,ranking,region
"Solomon Islands","solomon-islands","20.27","2018 est.","1","Australia and Oceania"
"Liberia","liberia","13.27","2018 est.","2","Africa"
"Burundi","burundi","10.31","2018 est.","3","Africa"
"Guinea-Bissau","guinea-bissau","9.24","2018 est.","4","Africa"
"Central African Republic","central-african-republic","8.99","2018 est.","5","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","8.72","2018 est.","6","Africa"
"Uganda","uganda","7.32","2018 est.","7","Africa"
"Sierra Leone","sierra-leone","6.92","2018 est.","8","Africa"
"Mozambique","mozambique","6.46","2018 est.","9","Africa"
"Malawi","malawi","6.19","2018 est.","10","Africa"
"Ethiopia","ethiopia","5.81","2018 est.","11","Africa"
"Guinea","guinea","4.81","2018 est.","12","Africa"
"Guyana","guyana","4.56","2018 est.","13","South America"
"Burkina Faso","burkina-faso","4.54","2018 est.","14","Africa"
"Zambia","zambia","4.45","2018 est.","15","Africa"
"Niger","niger","4.41","2018 est.","16","Africa"
"Madagascar","madagascar","4.34","2018 est.","17","Africa"
"Togo","togo","3.96","2018 est.","18","Africa"
"Chad","chad","3.81","2018 est.","19","Africa"
"Rwanda","rwanda","3.75","2018 est.","20","Africa"
"Ghana","ghana","3.51","2018 est.","21","Africa"
"Lesotho","lesotho","3.34","2018 est.","22","Africa"
"Congo, Republic of the","congo-republic-of-the","3.17","2018 est.","23","Africa"
"Sudan","sudan","3.01","2018 est.","24","Africa"
"South Sudan","south-sudan","2.65","2015 est.","25","Africa"
"Gabon","gabon","2.60","2018 est.","26","Africa"
"Cameroon","cameroon","2.50","2018 est.","27","Africa"
"Gambia, The","gambia-the","2.47","2018 est.","28","Africa"
"Suriname","suriname","2.36","2018 est.","29","South America"
"Eswatini","eswatini","2.25","2018 est.","30","Africa"
"Benin","benin","2.24","2018 est.","31","Africa"
"Tanzania","tanzania","2.19","2018 est.","32","Africa"
"Papua New Guinea","papua-new-guinea","2.08","2018 est.","33","East and Southeast Asia"
"Cote d'Ivoire","cote-divoire","2.04","2016 est.","34","Africa"
"Mali","mali","2.02","2018 est.","35","Africa"
"Sao Tome and Principe","sao-tome-and-principe","1.90","2018 est.","36","Africa"
"Bhutan","bhutan","1.89","2018 est.","37","South Asia"
"Burma","burma","1.69","2018 est.","38","East and Southeast Asia"
"Zimbabwe","zimbabwe","1.61","2018 est.","39","Africa"
"Malaysia","malaysia","1.57","2018 est.","40","East and Southeast Asia"
"Uruguay","uruguay","1.56","2018 est.","41","South America"
"Equatorial Guinea","equatorial-guinea","1.52","2018 est.","42","Africa"
"Vietnam","vietnam","1.49","2018 est.","43","East and Southeast Asia"
"Laos","laos","1.48","2018 est.","44","East and Southeast Asia"
"Senegal","senegal","1.46","2018 est.","45","Africa"
"Comoros","comoros","1.39","2018 est.","46","Africa"
"Kenya","kenya","1.30","2018 est.","47","Africa"
"Mauritania","mauritania","1.30","2018 est.","48","Africa"
"Nicaragua","nicaragua","1.26","2018 est.","49","Central America and the Caribbean"
"Paraguay","paraguay","1.21","2018 est.","50","South America"
"Tajikistan","tajikistan","1.12","2018 est.","51","Central Asia"
"Belarus","belarus","1.02","2018 est.","52","Europe"
"Nigeria","nigeria","1.02","2018 est.","53","Africa"
"Honduras","honduras","0.91","2018 est.","54","Central America and the Caribbean"
"Estonia","estonia","0.85","2018 est.","55","Europe"
"Latvia","latvia","0.85","2018 est.","56","Europe"
"Cambodia","cambodia","0.84","2018 est.","57","East and Southeast Asia"
"Costa Rica","costa-rica","0.82","2018 est.","58","Central America and the Caribbean"
"Guatemala","guatemala","0.78","2018 est.","59","Central America and the Caribbean"
"Haiti","haiti","0.68","2018 est.","60","Central America and the Caribbean"
"Brazil","brazil","0.62","2018 est.","61","South America"
"El Salvador","el-salvador","0.60","2018 est.","62","Central America and the Caribbean"
"Fiji","fiji","0.59","2018 est.","63","Australia and Oceania"
"Vanuatu","vanuatu","0.54","2018 est.","64","Australia and Oceania"
"New Zealand","new-zealand","0.50","2018 est.","65","Australia and Oceania"
"Bosnia and Herzegovina","bosnia-and-herzegovina","0.49","2018 est.","66","Europe"
"Chile","chile","0.49","2018 est.","67","South America"
"Namibia","namibia","0.47","2018 est.","68","Africa"
"Nepal","nepal","0.45","2018 est.","69","South Asia"
"Montenegro","montenegro","0.43","2018 est.","70","Europe"
"Indonesia","indonesia","0.39","2018 est.","71","East and Southeast Asia"
"Cabo Verde","cabo-verde","0.38","2018 est.","72","Africa"
"Serbia","serbia","0.38","2018 est.","73","Europe"
"Angola","angola","0.36","2018 est.","74","Africa"
"Finland","finland","0.36","2018 est.","75","Europe"
"Thailand","thailand","0.34","2018 est.","76","East and Southeast Asia"
"Ukraine","ukraine","0.34","2018 est.","77","Europe"
"Bolivia","bolivia","0.33","2018 est.","78","South America"
"Belize","belize","0.31","2018 est.","79","Central America and the Caribbean"
"Lithuania","lithuania","0.31","2018 est.","80","Europe"
"Russia","russia","0.29","2018 est.","81","Central Asia"
"Armenia","armenia","0.28","2018 est.","82","Middle East"
"Ecuador","ecuador","0.27","2018 est.","83","South America"
"Samoa","samoa","0.27","2018 est.","84","Australia and Oceania"
"Croatia","croatia","0.26","2018 est.","85","Europe"
"Djibouti","djibouti","0.26","2018 est.","86","Africa"
"Moldova","moldova","0.26","2018 est.","87","Europe"
"Botswana","botswana","0.23","2018 est.","88","Africa"
"Bulgaria","bulgaria","0.22","2018 est.","89","Europe"
"Slovakia","slovakia","0.22","2018 est.","90","Europe"
"Sweden","sweden","0.21","2018 est.","91","Europe"
"Tunisia","tunisia","0.21","2018 est.","92","Africa"
"Afghanistan","afghanistan","0.20","2018 est.","93","South Asia"
"Slovenia","slovenia","0.20","2018 est.","94","Europe"
"Albania","albania","0.18","2018 est.","95","Europe"
"Philippines","philippines","0.18","2018 est.","96","East and Southeast Asia"
"Czechia","czechia","0.17","2017 est.","97","Europe"
"Poland","poland","0.17","2018 est.","98","Europe"
"Romania","romania","0.16","2018 est.","99","Europe"
"Egypt","egypt","0.15","2018 est.","100","Africa"
"Jamaica","jamaica","0.15","2018 est.","101","Central America and the Caribbean"
"North Macedonia","north-macedonia","0.15","2018 est.","102","Europe"
"India","india","0.14","2018 est.","103","South Asia"
"Mongolia","mongolia","0.14","2018 est.","104","East and Southeast Asia"
"Australia","australia","0.13","2018 est.","105","Australia and Oceania"
"Morocco","morocco","0.13","2018 est.","106","Africa"
"Portugal","portugal","0.13","2018 est.","107","Europe"
"Timor-Leste","timor-leste","0.13","2018 est.","108","East and Southeast Asia"
"Peru","peru","0.12","2018 est.","109","South America"
"Algeria","algeria","0.10","2018 est.","110","Africa"
"Colombia","colombia","0.10","2018 est.","111","South America"
"Hungary","hungary","0.10","2018 est.","112","Europe"
"Mexico","mexico","0.10","2018 est.","113","North America"
"Pakistan","pakistan","0.10","2018 est.","114","South Asia"
"Argentina","argentina","0.09","2018 est.","115","South America"
"Seychelles","seychelles","0.09","2018 est.","116","Africa"
"Bangladesh","bangladesh","0.08","2018 est.","117","South Asia"
"Canada","canada","0.08","2018 est.","118","North America"
"China","china","0.08","2018 est.","119","East and Southeast Asia"
"Panama","panama","0.08","2018 est.","120","Central America and the Caribbean"
"Turkey (Turkiye)","turkey-turkiye","0.08","2018 est.","121","Middle East"
"Austria","austria","0.07","2018 est.","122","Europe"
"Georgia","georgia","0.07","2018 est.","123","Middle East"
